	MCT1_id	MCT1_name	MCT1_r_value	SIT4_id	SIT4_name	SIT4_r_value	PHO85_id	PHO85_name	PHO85_r_value	PHO84_id	PHO84_name	PHO84_r_value	PHO4_id	PHO4_name	PHO4_r_value	REG1_id	REG1_name	REG1_r_value	PHO80_id	PHO80_name	PHO80_r_value	PHO81_id	PHO81_name	PHO81_r_value	PHO89_id	PHO89_name	PHO89_r_value	PHO2_id	PHO2_name	PHO2_r_value	PHO87_id	PHO87_name	PHO87_r_value	PHO90_id	PHO90_name	PHO90_r_value
36	YKL039W	PTM1	0.3561333930775448	YOR298C-A	MBF1	0.37237672044512865	YNL305C	BXI1	0.3828343954095659	YEL042W	GDA1	0.30303300623632645	YNL240C	NAR1	0.46086199875705747	YGL036W	YGL036W	0.6676631650561959	YGR062C	COX18	0.4539254098017725	YBR296C	PHO89	0.31793254177054603	YMR036C	MIH1	0.3241421138857855	YDR169C	STB3	0.5569982006928712	YJL134W	LCB3	0.3704580381728572	YJL069C	UTP18	0.4506986499986621
37	YHL021C	AIM17	0.3556432086580271	YHR032W	ERC1	0.3716148236480657	YMR262W	YMR262W	0.3826795494783499	YBL042C	FUI1	0.30187082320220804	YML113W	DAT1	0.4584844705004018	YOL060C	MAM3	0.6676533470210222	YGL010W	MPO1	0.45373687509691685	YOR233W	KIN4	0.3165865524859708	YPL018W	CTF19	0.32180424803297997	YDR122W	KIN1	0.5565160234261405	YEL019C	MMS21	0.3696676905377814	YBL068W	PRS4	0.45030557643017666
38	YHR006W	STP2	0.35535779542044876	YMR272C	SCS7	0.37065213206066083	YDL057W	YDL057W	0.3819078862796487	YPR041W	TIF5	0.3011979495965075	YDL233W	MFG1	0.45816192951111867	YMR172W	HOT1	0.6668310004356147	YHR181W	SVP26	0.4536392313205095	YOR143C	THI80	0.31275654133034125	YJL045W	YJL045W	0.3186346082267545	YJL036W	SNX4	0.5563352359500374	YMR285C	NGL2	0.3680190092157601	YMR290C	HAS1	0.44685893293642776
39	YBR126C	TPS1	0.3533564210743638	YOR204W	DED1	0.3704374519291799	YOR230W	WTM1	0.38147076019695114	YKL184W	SPE1	0.2998160971808335	YHR189W	PTH1	0.45410442594133765	YOR141C	ARP8	0.6662170206976378	YLR005W	SSL1	0.4521770167266134	YEL016C	NPP2	0.31159153893382313	YNL117W	MLS1	0.3180664496503274	YDR219C	MFB1	0.5550092790129046	YNL053W	MSG5	0.366453684199465	YOL080C	REX4	0.4467399543493693
40	YLR356W	ATG33	0.35322374058846623	YGR068C	ART5	0.3703602176671303	YGR268C	HUA1	0.3811799954979536	YMR211W	DML1	0.29266739815427706	YNL097C	PHO23	0.45187643202376054	YNL267W	PIK1	0.6657079943326417	YBR077C	SLM4	0.45061478451634884	YOL078W	AVO1	0.3113332712247899	YGR233C	PHO81	0.31793254177054603	YGL180W	ATG1	0.5549628215621346	YJR136C	TTI2	0.36393731279137637	YHR089C	GAR1	0.44619040408678323
41	YJR065C	ARP3	0.3521943919242042	YFL031W	HAC1	0.3697259980544938	YBR037C	SCO1	0.3806948367078096	YLR083C	EMP70	0.2925468186107114	YCR047C	BUD23	0.4512750656083492	YDR145W	TAF12	0.6625071993506799	YPL098C	MGR2	0.4473555135270872	YMR097C	MTG1	0.31056478015862643	YDL223C	HBT1	0.3156412075566202	YOR141C	ARP8	0.5536803596153324	YCL016C	DCC1	0.3629253170025553	YCR072C	RSA4	0.444004985910113
42	YGL117W	YGL117W	0.3503696801400957	YIL123W	SIM1	0.3678735655077629	YGL208W	SIP2	0.3802896946106055	YNL217W	YNL217W	0.2919576166213811	YIR015W	RPR2	0.4470752702205571	YGL173C	XRN1	0.6601043835855525	YPR098C	YPR098C	0.4467754201427075	YER013W	PRP22	0.3082207872470345	YMR107W	SPG4	0.3119779487742087	YHR161C	YAP1801	0.5530032764615005	YOR378W	AMF1	0.360026004530792	YOR269W	PAC1	0.44327109101286893
43	YMR139W	RIM11	0.34958824038325664	YGL045W	RIM8	0.3676914886805898	YEL066W	HPA3	0.3787197325431481	YKL008C	LAC1	0.2894972976324625	YLR281C	YLR281C	0.4463442863497293	YGR178C	PBP1	0.6585713857380048	YPL144W	POC4	0.44595952011264084	YOR287C	RRP36	0.30796763966403473	YDR275W	BSC2	0.3080750582511318	YOR030W	DFG16	0.5526350386784492	YLL031C	GPI13	0.357960728309013	YPR144C	NOC4	0.4429112185932685
44	YDL123W	SNA4	0.3493291066401876	YOR171C	LCB4	0.36718961865508454	YNL100W	MIC27	0.37768921216240015	YGL225W	VRG4	0.28840462649769744	YPL023C	MET12	0.44481185204151036	YDL113C	ATG20	0.6566719885409845	YDR090C	YDR090C	0.44526026148534953	YHR191C	CTF8	0.3068881733219528	YNL194C	YNL194C	0.306025933750018	YDR244W	PEX5	0.5506155429925174	YBL088C	TEL1	0.3575492458020315	YGR264C	MES1	0.4427252660035504
45	YDR242W	AMD2	0.3492293015825332	YJL174W	KRE9	0.36522022208372534	YIL033C	BCY1	0.3774765344603126	YOL130W	ALR1	0.28676214012340917	YMR069W	NAT4	0.44288099464897707	YLL029W	FRA1	0.6566641858867016	YGR015C	YGR015C	0.4425396499725438	YDR452W	PPN1	0.3068349236894758	YJR094C	IME1	0.30588725185445076	YIL144W	NDC80	0.5491276540586998	YOL043C	NTG2	0.35648732366963654	YLR083C	EMP70	0.44220222663984404
46	YDR003W	RCR2	0.3465862899371508	YNL187W	SWT21	0.3626516147882539	YJR008W	MHO1	0.37723457983002195	YDR483W	KRE2	0.2863880075993728	YER114C	BOI2	0.43952977947459393	YBR112C	CYC8	0.6555344758090483	YEL049W	PAU2	0.44075384446311466	YDR159W	SAC3	0.30630945618793304	YBL101C	ECM21	0.30414773242937654	YNL118C	DCP2	0.548797166256558	YHR151C	MTC6	0.35572292812018097	YBR034C	HMT1	0.44196630823162264
47	YHR018C	ARG4	0.34328231315738844	YBR193C	MED8	0.3624364105196388	YLR005W	SSL1	0.374979149817474	YCR053W	THR4	0.2837301497858284	YCR059C	YIH1	0.43946289077480943	YMR304W	UBP15	0.6554874819759191	YOR210W	RPB10	0.43949651086042923	YLR145W	RMP1	0.3057659573763465	YIL057C	RGI2	0.30125028647942304	YOR191W	ULS1	0.5442365110257845	YJR124C	YJR124C	0.35449039639322677	YGL120C	PRP43	0.4417225301801528
48	YLR120C	YPS1	0.3408667692030216	YOR140W	SFL1	0.3620740667962332	YJL210W	PEX2	0.37307244581304694	YHR064C	SSZ1	0.28287088005909	YCL008C	STP22	0.43894196459963514	YPL022W	RAD1	0.654442623583948	YBL039W-B	YBL039W-B	0.4394430691365357	YLR285C-A	YLR285C-A	0.304128504027047	YNL116W	DMA2	0.3009470685148559	YKL171W	NNK1	0.5438605964460645	YPL172C	COX10	0.3536942146802719	YJL134W	LCB3	0.4398116142187195
49	YCR069W	CPR4	0.3408494646989433	YDR003W	RCR2	0.3620182913930436	YBR052C	RFS1	0.3729197006947617	YBL032W	HEK2	0.28209420804994756	YPR152C	URN1	0.4374900576836271	YOR113W	AZF1	0.6523864486680654	YGR057C	LST7	0.438688573511912	YIL159W	BNR1	0.3041073438578551	YFL041W	FET5	0.30042936593495817	YJL176C	SWI3	0.5433680649422368	YKL165C	MCD4	0.35245766323682626	YDL063C	SYO1	0.43967580016308666
50	YDR001C	NTH1	0.3397764690583303	YGL215W	CLG1	0.3589538852830346	YGL161C	YIP5	0.3718070207761098	YJR041C	URB2	0.279537581660293	YNL124W	NAF1	0.4358770242212066	YKL105C	SEG2	0.6520470961006605	YKR088C	TVP38	0.4371033365307165	YJR079W	YJR079W	0.30388074871612447	YCR098C	GIT1	0.29892573177947973	YBR108W	AIM3	0.5417741098507087	YNL221C	POP1	0.3504269494936028	YMR093W	UTP15	0.4395652035911561
